chunk_config,sentences_per_chunk,overlap,n_chunks,method,k,hybrid_weight,rerank_weight,n_cases,hit_at_1,hit_at_k,recall_at_k,mrr,avg_latency_ms
"1-sentence, no overlap",1,0,132,bm25,1,0.2,0.3,18,0.5555555555555556,0.5555555555555556,0.4722222222222222,0.6842592592592592,0.498048722218098
"1-sentence, no overlap",1,0,132,bm25,2,0.2,0.3,18,0.5555555555555556,0.6666666666666666,0.6111111111111112,0.6842592592592592,0.4591295555150686
"1-sentence, no overlap",1,0,132,bm25,3,0.2,0.3,18,0.5555555555555556,0.7777777777777778,0.7222222222222222,0.6842592592592592,0.48197455554246615
"1-sentence, no overlap",1,0,132,bm25,5,0.2,0.3,18,0.5555555555555556,0.9444444444444444,0.8888888888888888,0.6842592592592592,0.5731573888220333
"1-sentence, no overlap",1,0,132,embedding,1,0.2,0.3,18,0.6666666666666666,0.6666666666666666,0.5555555555555556,0.787037037037037,16.1467684445395
"1-sentence, no overlap",1,0,132,embedding,2,0.2,0.3,18,0.6666666666666666,0.8333333333333334,0.75,0.787037037037037,16.037173555711586
"1-sentence, no overlap",1,0,132,embedding,3,0.2,0.3,18,0.6666666666666666,0.9444444444444444,0.8611111111111112,0.787037037037037,15.061069222257276
"1-sentence, no overlap",1,0,132,embedding,5,0.2,0.3,18,0.6666666666666666,0.9444444444444444,0.8888888888888888,0.787037037037037,16.675752111091747
"1-sentence, no overlap",1,0,132,hybrid,1,0.2,0.3,18,0.7222222222222222,0.7222222222222222,0.6111111111111112,0.8259259259259258,16.40868744445672
"1-sentence, no overlap",1,0,132,hybrid,2,0.2,0.3,18,0.7222222222222222,0.8333333333333334,0.75,0.8259259259259258,16.620504722242103
"1-sentence, no overlap",1,0,132,hybrid,3,0.2,0.3,18,0.7222222222222222,0.9444444444444444,0.8888888888888888,0.8259259259259258,14.774925944443062
"1-sentence, no overlap",1,0,132,hybrid,5,0.2,0.3,18,0.7222222222222222,1.0,0.9444444444444444,0.8259259259259258,14.622314777827544
"1-sentence, no overlap",1,0,132,hybrid_reranked,1,0.2,0.3,18,0.7222222222222222,0.7222222222222222,0.6111111111111112,0.8148148148148148,17.06375922220913
"1-sentence, no overlap",1,0,132,hybrid_reranked,2,0.2,0.3,18,0.7222222222222222,0.8333333333333334,0.7777777777777778,0.8148148148148148,17.07699083342757
"1-sentence, no overlap",1,0,132,hybrid_reranked,3,0.2,0.3,18,0.7222222222222222,0.9444444444444444,0.8888888888888888,0.8148148148148148,15.241682777741516
"1-sentence, no overlap",1,0,132,hybrid_reranked,5,0.2,0.3,18,0.7222222222222222,0.9444444444444444,0.8888888888888888,0.8148148148148148,16.064851777830174
"2-sentence, no overlap",2,0,76,bm25,1,0.2,0.3,18,0.5555555555555556,0.5555555555555556,0.4722222222222222,0.6962962962962962,0.4217987222748181
"2-sentence, no overlap",2,0,76,bm25,2,0.2,0.3,18,0.5555555555555556,0.7222222222222222,0.6666666666666666,0.6962962962962962,0.45107405549060786
"2-sentence, no overlap",2,0,76,bm25,3,0.2,0.3,18,0.5555555555555556,0.7777777777777778,0.7222222222222222,0.6962962962962962,0.5150279443013359
"2-sentence, no overlap",2,0,76,bm25,5,0.2,0.3,18,0.5555555555555556,0.9444444444444444,0.8888888888888888,0.6962962962962962,0.4970718334031214
"2-sentence, no overlap",2,0,76,embedding,1,0.2,0.3,18,0.6666666666666666,0.6666666666666666,0.5555555555555556,0.8055555555555556,14.964395999918956
"2-sentence, no overlap",2,0,76,embedding,2,0.2,0.3,18,0.6666666666666666,0.9444444444444444,0.8611111111111112,0.8055555555555556,14.074282444451253
"2-sentence, no overlap",2,0,76,embedding,3,0.2,0.3,18,0.6666666666666666,0.9444444444444444,0.8611111111111112,0.8055555555555556,13.582090166740576
"2-sentence, no overlap",2,0,76,embedding,5,0.2,0.3,18,0.6666666666666666,0.9444444444444444,0.9166666666666666,0.8055555555555556,14.471835722209411
"2-sentence, no overlap",2,0,76,hybrid,1,0.2,0.3,18,0.7222222222222222,0.7222222222222222,0.6111111111111112,0.8444444444444444,14.097219833325248
"2-sentence, no overlap",2,0,76,hybrid,2,0.2,0.3,18,0.7222222222222222,0.9444444444444444,0.8611111111111112,0.8444444444444444,14.035590333252104
"2-sentence, no overlap",2,0,76,hybrid,3,0.2,0.3,18,0.7222222222222222,0.9444444444444444,0.8888888888888888,0.8444444444444444,14.606139055659797
"2-sentence, no overlap",2,0,76,hybrid,5,0.2,0.3,18,0.7222222222222222,1.0,0.9444444444444444,0.8444444444444444,14.455298499898264
"2-sentence, no overlap",2,0,76,hybrid_reranked,1,0.2,0.3,18,0.6666666666666666,0.6666666666666666,0.5833333333333334,0.8055555555555556,16.531872722377255
"2-sentence, no overlap",2,0,76,hybrid_reranked,2,0.2,0.3,18,0.6666666666666666,0.9444444444444444,0.8888888888888888,0.8055555555555556,20.562625055592637
"2-sentence, no overlap",2,0,76,hybrid_reranked,3,0.2,0.3,18,0.6666666666666666,0.9444444444444444,0.8888888888888888,0.8055555555555556,21.128185055608306
"2-sentence, no overlap",2,0,76,hybrid_reranked,5,0.2,0.3,18,0.6666666666666666,0.9444444444444444,0.8888888888888888,0.8055555555555556,16.236803388791387
"2-sentence, 1-sentence overlap",2,1,132,bm25,1,0.2,0.3,18,0.5555555555555556,0.5555555555555556,0.4722222222222222,0.6962962962962962,0.45334950012450764
"2-sentence, 1-sentence overlap",2,1,132,bm25,2,0.2,0.3,18,0.5555555555555556,0.7222222222222222,0.6666666666666666,0.6962962962962962,0.4410647221549071
"2-sentence, 1-sentence overlap",2,1,132,bm25,3,0.2,0.3,18,0.5555555555555556,0.7777777777777778,0.7222222222222222,0.6962962962962962,0.45692116666234345
"2-sentence, 1-sentence overlap",2,1,132,bm25,5,0.2,0.3,18,0.5555555555555556,0.9444444444444444,0.8888888888888888,0.6962962962962962,0.4372917222402369
"2-sentence, 1-sentence overlap",2,1,132,embedding,1,0.2,0.3,18,0.6666666666666666,0.6666666666666666,0.5555555555555556,0.7777777777777778,17.45837249978245
