metric_group,variant,decision_accuracy,macro_f1,grounding,safe_uncertainty,explanation_quality,average_cost_usd,average_latency_ms,metric,value,error_type,count,assumed_cost_sgd,estimated_failure_cost_sgd
variant,A,0.45,0.3671328671328672,0.775,0.525,1.0,0.0009980625,2259.2654353999023,,,,,,
variant,B,0.55,0.42394533571004156,0.75,0.65,1.0,0.00022007999999999997,1651.2335936501586,,,,,,
variant,C-V1,0.6,0.603030303030303,0.75,0.75,0.9,0.00035162249999999996,1827.7723916497052,,,,,,
variant,C-V2,0.75,0.7559523809523809,,,,,,,,,,,
ocr,,,,,,,,,Merchant,0.85,,,,
ocr,,,,,,,,,Date,1.0,,,,
ocr,,,,,,,,,Total,0.95,,,,
ocr,,,,,,,,,Currency,1.0,,,,
ocr,,,,,,,,,Line Items,0.0,,,,
business_cost,,,,,,,,,,,False Approve,0.0,120.0,0.0
business_cost,,,,,,,,,,,False Reject,0.0,45.0,0.0
business_cost,,,,,,,,,,,Unnecessary Request Information,3.0,20.0,60.0
business_cost,,,,,,,,,,,Unnecessary Escalation,2.0,35.0,70.0
automation,,,,,,,,,Safe automation rate,0.3,,,,
automation,,,,,,,,,Human review/request rate,0.7,,,,
automation,,,,,,,,,Incorrect auto-decision rate,0.0,,,,
