label,precision,recall,f1,support,variant
APPROVE,0.8333333333333334,0.8333333333333334,0.8333333333333334,6,A
REJECT,0.5,0.75,0.6,4,A
REQUEST_INFORMATION,0.8333333333333334,0.8333333333333334,0.8333333333333334,6,A
ESCALATE,1.0,0.5,0.6666666666666666,4,A
APPROVE,1.0,0.8333333333333334,0.9090909090909091,6,B
REJECT,0.6666666666666666,1.0,0.8,4,B
REQUEST_INFORMATION,1.0,0.8333333333333334,0.9090909090909091,6,B
ESCALATE,1.0,1.0,1.0,4,B
APPROVE,0.75,0.5,0.6,6,C
REJECT,0.75,0.75,0.75,4,C
REQUEST_INFORMATION,0.75,1.0,0.8571428571428571,6,C
ESCALATE,1.0,1.0,1.0,4,C
